district,state,total_population,male_population,female_population,urban_population,rural_population,population_density_per_km2,households,area_km2,literacy_rate_pct,below_poverty_line_pct,sc_population_pct,st_population_pct,main_workers,agricultural_workers_pct,latitude,longitude,elevation_m,avg_slope_deg,flood_prone,primary_river,vulnerability_index
Ahmednagar,Maharashtra,4543083,2340022,2232846,1337571,1468431,377,928548,4606,78.7,23.4,9.5,15.0,1632697,45.3,19.0948,74.748,657,8,False,Pravara,0.53
Akola,Maharashtra,1818617,923089,884173,1246447,991411,204,357161,12536,85.5,30.7,8.1,15.7,719434,62.3,20.7002,77.0082,307,5,False,Penganga,2.88
Amravati,Maharashtra,2887826,1487635,1437654,1334845,1659016,539,598890,6818,72.7,23.6,16.9,23.0,1187523,59.4,20.9374,77.7796,344,6,False,Wardha,3.64
Aurangabad,Maharashtra,3701282,1875682,1776802,1097025,1314066,386,851059,6850,84.7,12.9,11.1,13.4,1193338,56.1,19.8762,75.3433,620,6,False,Kham,2.89
Beed,Maharashtra,2585049,1304343,1248251,1262130,960561,183,603078,4218,89.5,22.8,10.9,8.0,1114939,27.7,18.9891,75.7601,636,7,False,Bindusara,2.88
Bhandara,Maharashtra,1200334,613029,585869,275404,889246,271,259186,4779,86.0,24.4,14.4,19.4,436390,33.5,21.1667,79.65,264,5,True,Wainganga,5.29
Buldhana,Maharashtra,2588039,1295999,1288864,1420136,1576999,254,604267,2603,83.8,15.7,13.7,8.0,923073,44.7,20.5292,76.1842,480,7,False,Purna,4.46
Chandrapur,Maharashtra,2204307,1128505,1100156,1552291,1025515,474,467222,14026,81.2,11.9,11.4,24.6,885263,46.1,19.9615,79.2961,193,6,True,Wardha,5.41
Dhule,Maharashtra,2050862,1027884,1025254,533269,943291,170,463975,4692,80.1,25.9,16.2,18.3,736675,24.2,20.9042,74.7749,350,8,False,Panzara,3.31
Gadchiroli,Maharashtra,1072942,540733,523561,776832,768839,305,218358,5242,83.4,29.9,10.6,14.6,402286,30.9,20.1809,80.0,250,8,True,Godavari,7.43
Gondia,Maharashtra,1322507,670844,655821,591069,536318,448,305155,8267,82.1,14.5,9.3,9.1,430874,38.3,21.4667,80.2,320,6,True,Wainganga,7.46
Hingoli,Maharashtra,1177345,596945,573193,491477,769599,119,276521,10232,88.8,18.6,11.2,11.1,459564,59.6,19.7167,77.15,433,6,False,Kayadhu,2.52
Jalgaon,Maharashtra,4229917,2142577,2083882,1820610,2481796,2521,836492,13689,77.5,8.0,17.5,18.1,1588192,63.9,21.0077,75.5626,209,5,True,Tapi,6.49
Jalna,Maharashtra,1958483,1014025,940293,555238,814367,1486,422976,6515,91.2,31.3,11.2,13.6,655232,29.4,19.8347,75.8816,490,6,False,Dudhna,4.16
Kolhapur,Maharashtra,3876001,1945891,1888214,2758117,3020807,435,789893,2534,71.5,9.7,14.8,14.0,1655959,29.8,16.705,74.2433,830,12,True,Panchganga,5.44
Latur,Maharashtra,2454196,1257019,1198246,537721,1403237,255,581170,8483,92.0,26.8,10.1,24.4,879065,40.1,18.4088,76.5604,649,6,False,Tawarja,0.34
