district,state,point_id,latitude,longitude,elevation_m,slope_degrees,aspect_degrees,slope_direction,terrain_type,flood_risk_elevation,landslide_risk,land_cover,soil_type,drainage_density
Ahmednagar,Maharashtra,AHM_001,19.3347,74.7001,703.5,5.2,152.3,South,Hillside,Moderate,Low,Urban,Alluvial,1.98
Ahmednagar,Maharashtra,AHM_002,19.3283,75.0228,345.0,9.6,284.2,West,Valley,High,Low,Forest,Red Laterite,3.84
Ahmednagar,Maharashtra,AHM_003,19.1583,74.7109,406.8,7.1,103.8,East,Hillside,Moderate,Low,Agricultural,Rocky,4.46
Ahmednagar,Maharashtra,AHM_004,19.2486,74.5892,332.6,11.5,109.8,East,Valley,High,Moderate,Barren,Black Cotton,3.92
Ahmednagar,Maharashtra,AHM_005,19.0484,74.8348,564.0,4.9,147.2,South,Hillside,Moderate,Low,Forest,Rocky,0.6
Ahmednagar,Maharashtra,AHM_006,19.1144,74.8833,802.1,1.1,94.0,East,Peak,Moderate,Low,Barren,Sandy,0.51
Ahmednagar,Maharashtra,AHM_007,19.2679,74.8923,640.3,5.4,266.9,West,Hillside,Moderate,Low,Agricultural,Rocky,1.18
Ahmednagar,Maharashtra,AHM_008,19.0712,74.5149,820.1,4.8,152.2,South,Peak,Moderate,Low,Forest,Black Cotton,0.66
Ahmednagar,Maharashtra,AHM_009,18.8115,74.6532,536.0,3.6,177.6,South,Hillside,Moderate,Low,Forest,Alluvial,2.21
Ahmednagar,Maharashtra,AHM_010,19.0315,75.0073,789.0,10.9,343.1,North,Peak,Moderate,Moderate,Forest,Alluvial,0.79
Ahmednagar,Maharashtra,AHM_011,19.2426,74.6665,330.8,3.4,54.5,East,Valley,High,Low,Agricultural,Black Cotton,4.25
Ahmednagar,Maharashtra,AHM_012,19.2045,74.613,650.2,2.6,103.6,East,Hillside,Moderate,Low,Forest,Red Laterite,1.91
Ahmednagar,Maharashtra,AHM_013,19.0053,74.4698,746.0,2.4,248.6,West,Hillside,Moderate,Low,Forest,Alluvial,4.28
Ahmednagar,Maharashtra,AHM_014,19.2221,74.9958,975.5,8.8,93.6,East,Peak,Low,Low,Agricultural,Alluvial,1.52
Ahmednagar,Maharashtra,AHM_015,19.3755,74.7017,890.6,9.6,314.4,West,Peak,Moderate,Low,Forest,Alluvial,3.56
Ahmednagar,Maharashtra,AHM_016,19.1413,74.8408,810.6,4.2,139.5,South,Peak,Moderate,Low,Agricultural,Black Cotton,4.42
Ahmednagar,Maharashtra,AHM_017,19.0161,74.4619,517.8,9.7,33.3,North,Hillside,Moderate,Low,Forest,Black Cotton,0.69
Ahmednagar,Maharashtra,AHM_018,18.8244,74.5132,1010.9,8.7,320.8,North,Peak,Low,Low,Barren,Sandy,4.19
Ahmednagar,Maharashtra,AHM_019,18.8421,74.5772,740.1,3.3,127.2,East,Hillside,Moderate,Low,Forest,Black Cotton,1.21
Ahmednagar,Maharashtra,AHM_020,18.9663,74.5346,855.6,5.1,322.9,North,Peak,Moderate,Low,Forest,Red Laterite,1.71
Ahmednagar,Maharashtra,AHM_021,19.0896,74.8628,949.4,8.3,169.0,South,Peak,Low,Low,Forest,Red Laterite,0.92
Ahmednagar,Maharashtra,AHM_022,19.1198,74.5408,618.3,13.2,29.2,North,Hillside,Moderate,Moderate,Agricultural,Black Cotton,2.47
Ahmednagar,Maharashtra,AHM_023,19.1956,74.6109,260.2,5.4,234.6,West,Valley,High,Low,Urban,Alluvial,2.86
Ahmednagar,Maharashtra,AHM_024,19.0906,74.5041,574.1,8.3,275.7,West,Hillside,Moderate,Low,Barren,Alluvial,3.93
Ahmednagar,Maharashtra,AHM_025,19.2246,74.4794,492.6,5.9,280.2,West,Hillside,Moderate,Low,Urban,Sandy,3.38
Ahmednagar,Maharashtra,AHM_026,18.9567,75.0222,474.1,7.8,113.9,East,Hillside,Moderate,Low,Barren,Alluvial,2.41
Ahmednagar,Maharashtra,AHM_027,18.9079,74.8678,558.1,7.0,119.2,East,Hillside,Moderate,Low,Forest,Red Laterite,4.19
Ahmednagar,Maharashtra,AHM_028,18.9161,74.9839,779.7,12.5,22.8,North,Hillside,Moderate,Moderate,Agricultural,Sandy,4.31
Ahmednagar,Maharashtra,AHM_029,18.8137,74.5302,520.7,8.0,317.0,North,Hillside,Moderate,Low,Forest,Sandy,3.94
Ahmednagar,Maharashtra,AHM_030,19.0456,74.7972,459.2,12.2,179.5,South,Hillside,Moderate,Moderate,Agricultural,Sandy,1.42
Akola,Maharashtra,AKO_001,20.8778,77.2399,283.6,6.1,268.5,West,Hillside,High,Low,Agricultural,Black Cotton,3.55
