river,state,district,year,month,water_level_m,discharge_cumecs,warning_level_m,danger_level_m,status,flood_alert
Krishna,Maharashtra,Sangli,2000,1,2.33,2417.6,8.5,10.5,Normal,False
Krishna,Maharashtra,Sangli,2000,2,2.3,3038.1,8.5,10.5,Normal,False
Krishna,Maharashtra,Sangli,2000,3,3.16,3061.5,8.5,10.5,Normal,False
Krishna,Maharashtra,Sangli,2000,4,4.21,5803.7,8.5,10.5,Normal,False
Krishna,Maharashtra,Sangli,2000,5,5.27,7108.6,8.5,10.5,Normal,False
Krishna,Maharashtra,Sangli,2000,6,11.28,14151.5,8.5,10.5,Above Danger,True
Krishna,Maharashtra,Sangli,2000,7,12.83,16826.7,8.5,10.5,Above Danger,True
Krishna,Maharashtra,Sangli,2000,8,12.66,14532.8,8.5,10.5,Above Danger,True
Krishna,Maharashtra,Sangli,2000,9,7.95,10012.0,8.5,10.5,Normal,False
Krishna,Maharashtra,Sangli,2000,10,7.62,6784.6,8.5,10.5,Normal,False
Krishna,Maharashtra,Sangli,2000,11,4.33,5269.0,8.5,10.5,Normal,False
Krishna,Maharashtra,Sangli,2000,12,3.02,2968.0,8.5,10.5,Normal,False
Krishna,Maharashtra,Sangli,2001,1,2.46,2193.4,8.5,10.5,Normal,False
Krishna,Maharashtra,Sangli,2001,2,2.26,2848.1,8.5,10.5,Normal,False
Krishna,Maharashtra,Sangli,2001,3,3.69,5412.0,8.5,10.5,Normal,False
Krishna,Maharashtra,Sangli,2001,4,3.25,3999.8,8.5,10.5,Normal,False
Krishna,Maharashtra,Sangli,2001,5,5.19,7326.9,8.5,10.5,Normal,False
Krishna,Maharashtra,Sangli,2001,6,11.16,13351.5,8.5,10.5,Above Danger,True
Krishna,Maharashtra,Sangli,2001,7,13.61,18579.2,8.5,10.5,Above Danger,True
Krishna,Maharashtra,Sangli,2001,8,12.54,12540.3,8.5,10.5,Above Danger,True
Krishna,Maharashtra,Sangli,2001,9,9.35,9925.9,8.5,10.5,Above Warning,True
Krishna,Maharashtra,Sangli,2001,10,7.51,10305.0,8.5,10.5,Normal,False
Krishna,Maharashtra,Sangli,2001,11,5.37,7776.8,8.5,10.5,Normal,False
Krishna,Maharashtra,Sangli,2001,12,2.92,3942.1,8.5,10.5,Normal,False
