shelter_id,name,district,state,shelter_type,capacity_persons,current_occupancy,latitude,longitude,elevation_m,has_electricity,has_water_supply,has_medical_facility,has_food_storage,helicopter_access_only,road_access,nearest_hospital_km,nearest_police_station_km,contact_number,district_nodal_officer,last_used_year,structural_condition
SH_0001,Almora Dharamshala 1,Almora,Uttarakhand,Dharamshala,500,0,29.7275,79.7903,1541,True,True,False,True,False,True,7.3,4.7,01046-523547,Officer_302,2019,Good
SH_0002,Almora Army Camp 2,Almora,Uttarakhand,Army Camp,300,0,29.6075,79.755,1537,True,True,True,True,False,True,35.0,2.7,01787-257155,Officer_615,2024,Good
SH_0003,Almora Army Camp 3,Almora,Uttarakhand,Army Camp,400,0,29.5401,79.6551,1603,True,True,True,False,False,True,41.9,14.4,04860-831194,Officer_202,2024,Good
SH_0004,Almora ITBP Camp 4,Almora,Uttarakhand,ITBP Camp,1500,0,29.4998,79.5217,1562,True,True,False,False,False,True,6.2,8.4,06586-946551,Officer_927,2024,Good
SH_0005,Bageshwar Government School 1,Bageshwar,Uttarakhand,Government School,600,0,29.9826,79.901,1067,True,True,True,True,False,True,9.3,11.8,06759-589349,Officer_455,2024,Fair
SH_0006,Bageshwar Government School 2,Bageshwar,Uttarakhand,Government School,600,0,29.7908,79.8286,973,True,True,False,False,False,True,25.8,13.3,07129-728477,Officer_333,2023,Good
SH_0007,Bageshwar Dharamshala 3,Bageshwar,Uttarakhand,Dharamshala,800,0,29.9439,79.8724,1083,False,True,False,True,False,True,43.1,7.0,07115-975209,Officer_923,2021,Good
SH_0008,Bageshwar Government School 4,Bageshwar,Uttarakhand,Government School,300,0,29.9655,79.8007,999,True,True,False,True,True,False,10.7,3.5,04757-660109,Officer_694,2022,Needs Repair
SH_0009,Chamoli Community Hall 1,Chamoli,Uttarakhand,Community Hall,600,0,30.3188,79.1833,2734,True,True,True,True,False,True,24.7,9.2,04067-206801,Officer_598,2019,Fair
SH_0010,Chamoli Government School 2,Chamoli,Uttarakhand,Government School,600,0,30.5105,79.4161,2838,True,True,True,True,False,True,29.1,20.5,07097-443715,Officer_883,2024,Fair
SH_0011,Chamoli Army Camp 3,Chamoli,Uttarakhand,Army Camp,200,0,30.4587,79.3346,2825,True,True,True,True,False,True,36.3,20.7,01096-534179,Officer_234,2021,Needs Repair
SH_0012,Chamoli Community Hall 4,Chamoli,Uttarakhand,Community Hall,800,0,30.458,79.3384,2723,True,True,False,False,False,True,15.9,27.7,04144-670909,Officer_711,2019,Good
SH_0013,Chamoli Dharamshala 5,Chamoli,Uttarakhand,Dharamshala,300,0,30.45,79.363,2723,True,True,True,True,False,True,12.4,27.9,01178-297167,Officer_807,2022,Good
SH_0014,Chamoli ITBP Camp 6,Chamoli,Uttarakhand,ITBP Camp,300,0,30.301,79.2478,2742,True,True,False,False,False,True,5.3,26.4,01153-152590,Officer_457,2021,Good
SH_0015,Chamoli Helipad Camp 7,Chamoli,Uttarakhand,Helipad Camp,400,0,30.3367,79.3963,2883,True,True,False,False,True,False,33.7,7.2,04624-181264,Officer_794,2021,Fair
SH_0016,Champawat ITBP Camp 1,Champawat,Uttarakhand,ITBP Camp,600,0,29.3703,80.0015,1535,True,True,True,True,True,False,8.6,5.4,07201-521510,Officer_842,2024,Good
SH_0017,Champawat District HQ 2,Champawat,Uttarakhand,District HQ,600,0,29.3148,80.2363,1580,True,True,False,False,True,False,9.7,21.8,07556-647332,Officer_749,2019,Fair
SH_0018,Champawat Army Camp 3,Champawat,Uttarakhand,Army Camp,300,0,29.3321,80.0362,1673,True,False,True,True,True,False,12.6,21.2,07587-741404,Officer_195,2022,Good
SH_0019,Champawat ITBP Camp 4,Champawat,Uttarakhand,ITBP Camp,500,0,29.4389,79.9697,1578,True,False,False,True,True,False,33.3,14.5,03466-604669,Officer_106,2022,Good
SH_0020,Champawat ITBP Camp 5,Champawat,Uttarakhand,ITBP Camp,150,0,29.1894,79.9944,1699,True,True,False,True,False,True,13.9,11.0,03430-529277,Officer_730,2020,Good
